UserId,total_transactions,months_active,tx_per_month,avg_amount,median_amount,std_amount,total_amount_in,total_amount_out,n_in,n_out,send_receive_ratio,weekend_ratio,avg_balance,min_balance,max_balance,recency_days,n_tx_types,tx_velocity,primary_operator,age_range,gender,occupation,education_level,monthly_income_range,geographic_zone,household_size,primary_mm_use,smartphone_ownership,activity_label,age_range_raw,age_encoded,monthly_income_range_raw,income_encoded,household_size_raw,household_encoded,gender_raw,occupation_raw,education_level_raw,geographic_zone_raw,primary_mm_use_raw,activity_label_encoded
USER_1,147,30,4.9,9872.82,1000.0,17014.06,779704.0,671600.0,45,102,2.267,0.224,14101.95,25.0,90419.0,0,4,0.2187,MobileMoney,46-60,0,0,0,300001-500000,0,7+,0,Yes,Low,46-60,4.0,300001-500000,,7+,4.0,F,Salaried employee,University – Postgraduate,Suburban ,Both personal and business,0
USER_10,795,36,22.08,3837.41,500.0,23813.61,1382350.0,1668393.0,111,684,6.162,0.282,5667.87,2.0,450196.0,0,4,-0.114,MobileMoney,,2,3,2,,2,,2,,High,,,,,,,,,,,,2
USER_11,315,24,13.12,13478.13,5500.0,21315.02,2014234.0,2231377.0,127,188,1.48,0.289,26025.06,0.0,231246.0,0,4,-0.5726,MobileMoney,26-35,1,1,0,,0,1,0,,Medium,26-35,2.0,,,1,1.0,M,Self-employed,University – Postgraduate,Suburban ,Both personal and business,1
USER_12,104,13,8.0,31806.097499999996,10154.0,103425.12,1512300.0,2780997.5,18,80,4.444,0.163,81799.82375000001,425.93,2045267.0,0,6,-1.2088,OrangeMoney,,2,3,2,,2,,2,,Medium,,,,,,,,,,,,1
USER_13,419,71,5.9,6841.31,2000.0,15136.26,863155.0,2003353.5,74,345,4.662,0.263,9730.25,4.52,125154.0,0,5,-0.0401,OrangeMoney,18-25,1,2,1,50000-150000,0,7+,0,Yes,Low,18-25,1.0,50000-150000,,7+,4.0,M,Student ,University – Undergraduate,Suburban ,Both personal and business,0
USER_14,722,36,20.06,7961.89,2000.0,21162.29,708412.0,4966599.0,60,656,10.933,0.289,8550.42,0.13,242340.51,0,5,-0.0589,OrangeMoney,18-25,0,2,1,,1,7+,1,Yes,High,18-25,1.0,,,7+,4.0,F,Student,University – Undergraduate,Urban,Personal use only,2
USER_15,467,24,19.46,6171.95,1000.0,20313.59,59450.0,2807584.5,15,450,22.046125000000004,0.274,20128.03,20.3,204365.65,0,6,-0.8283,OrangeMoney,18-29,0,2,1,<50000,0,4-6,1,Yes,Medium,18-29,,<50000,,4-6,3.0,F,Student ,University – Undergraduate,Suburban ,Personal use only,1
USER_16,54,24,2.25,2562.96,1575.0,3335.12,72300.0,66100.0,27,27,1.0,0.37,3024.69,10.0,19283.0,0,4,-0.1176,MobileMoney,18-25,0,0,1,50000-150000,1,4-6,0,Yes,Low,18-25,1.0,50000-150000,,4-6,3.0,F,Salaried employee,University – Undergraduate,Urban,Both personal and business,0
USER_2,315,48,6.56,21185.7,10000.0,36959.12,3158600.0,3514896.0,79,236,2.987,0.305,56883.56,35.0,407172.0,0,4,-0.015,MobileMoney,46-60,1,0,0,300001-500000,0,7+,0,Yes,Medium,46-60,4.0,300001-500000,,7+,4.0,M,Salaried employee,University – Postgraduate,Suburban ,Both personal and business,1
USER_3,894,30,29.8,31806.097499999996,10250.0,668966952940.35,4724139.375,8373802.5,203,682,3.36,0.249,57089.75,55.75,1294401.5,0,5,-0.0138,OrangeMoney,46-60,0,0,0,300001-500000,0,7+,0,Yes,High,46-60,4.0,300001-500000,,7+,4.0,F,Salaried employee,University – Postgraduate,Suburban ,Both personal and business,2
USER_4,147,24,6.12,3558.48,1500.0,5807.2,104300.0,369778.0,9,133,14.778,0.299,10794.52,24.73,62879.43,0,6,-0.2789,OrangeMoney,18-25,1,2,1,<50000,1,2-3,1,Yes,Low,18-25,1.0,<50000,,2-3,2.0,M,Student ,University – Undergraduate,Urban,Personal use only,0
USER_5,1519,48,31.65,11396.05,2000.0,40658.04,2436945.0,8373802.5,119,1382,11.613,0.265,31232.61,1.07,1000180.97,0,6,-0.2216,OrangeMoney,18-25,1,2,0,50000-150000,1,1,0,Yes,High,18-25,1.0,50000-150000,,1,1.0,M,Student,University – Postgraduate,Urban,Both personal and business,2
USER_6,862,48,17.96,31806.097499999996,13197.0,1663913411651.15,4724139.375,8373802.5,177,685,3.87,0.256,81799.82375000001,390.65,984724.05,0,5,-0.0527,OrangeMoney,46-60,1,0,0,300001-500000,0,7+,0,Yes,Medium,46-60,4.0,300001-500000,,7+,4.0,M,Salaried employee,University – Postgraduate,Suburban ,Both personal and business,1
USER_7,518,24,21.58,3397.46,1000.0,7365.61,473650.0,1227197.0,44,472,10.727,0.297,7184.86,2.05,120006.97,0,6,-1.6922,OrangeMoney,26-35,1,0,0,,1,1,1,Yes,High,26-35,2.0,,,1,1.0,M,Salaried employee,University – Postgraduate,Urban,Personal use only,2
USER_8,58,13,4.46,4682.16,2154.0,5650.63,114090.0,147975.0,9,46,5.111,0.241,6393.04,69.19,28054.84,0,4,-1.0699,OrangeMoney,18-25,1,1,1,,1,4-6,0,Yes,Low,18-25,1.0,,,4-6,3.0,M,Self-employed,University – Undergraduate,Urban,Both personal and business,0
USER_9,436,70,6.23,4764.74,250.0,18045.51,1127290.0,950135.0,53,383,7.226,0.234,17305.89,8.0,201455.0,0,5,0.026,MobileMoney,18-25,1,2,1,50000-150000,0,7+,0,Yes,Medium,18-25,1.0,50000-150000,,7+,4.0,M,Student ,University – Undergraduate,Suburban ,Both personal and business,1
